X,gene_id,gene_name,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,M.56.2,X1.56.R,X2.56.R,X3.56.R,X4.56.R,X5.56.R,M.56.1,M.56.3,M.56.4,M.56.5,M.56.6,seqnames,start,end,width,strand,gene_name,gene_id,EnrichNumber,MeanMethDiff,MeanBeta.WildType_1,MeanBeta.WildType_2,MeanBeta.WildType_3,MeanBeta.Mutation_1,MeanBeta.Mutation_2,MeanBeta.Mutation_3
 536,ENSDARG00000074524,cntnap1,protein_coding,   18.63858,-4.451194,0.8654633,-5.143135,2.701917e-07,1.092764e-05,3.788302e+00,  73.031697,  39.203177,  37.8952318,  19.6867693,  24.6832351,    1.629357,    5.106665,   0.0000000,   0.000000,    0.000000,3,36904039,36946749, 42711,-,cntnap1,ENSDARG00000074524, 1, 55.6045896,0.090909091,0.350000000,0.000000000,0.400000000,0.608695652,0.861538462
 537,ENSDARG00000074902,nol4la,protein_coding,  536.73819,-2.481257,0.4826782,-5.140603,2.738585e-07,1.105531e-05,3.958775e+02, 860.888795,1101.252885, 843.7489375,1387.9172338, 665.0760565,  316.095180,  135.837290,  76.0854150,  76.088955,   45.251834,8,23252850,23330264, 77415,-,nol4la,ENSDARG00000074902, 3, 20.1899798,0.133333333,0.271561772,0.311840121,0.458476658,0.471571906,0.421052632
 546,ENSDARG00000024865,dscama,protein_coding,  218.93897,-2.193292,0.4279237,-5.125427,2.968642e-07,1.178283e-05,2.102507e+02, 364.051945, 351.937613, 420.7144106, 420.2368056, 351.7361000,   53.768768,   93.962636,  34.6527633,  73.673433,   33.343457,10,38773408,38974445,201038,+,dscama,ENSDARG00000024865, 3, 14.1771804,0.414089158,0.485508870,0.559523810,0.616049383,0.569458128,0.641923436
 547,ENSDARG00000044053,vsnl1b,protein_coding,   36.33770,-4.333421,0.8455223,-5.125141,2.973155e-07,1.178283e-05,0.000000e+00, 140.530690, 122.955419,  42.5354643,  57.5459410,  13.7129084,    1.629357,    0.000000,   5.2732466,   3.623284,   11.908377,17, 6715575, 6761149, 45575,-,vsnl1b,ENSDARG00000044053, 7,-31.1660771,0.493025493,0.461229703,0.334422156,0.082142857,0.102459243,0.113363792
 549,ENSDARG00000078527,lingo4b,protein_coding,   67.36674,-3.847809,0.7517493,-5.118473,3.080188e-07,1.216254e-05,1.610028e+01, 132.784904,  94.444018, 196.4365079, 180.9668406,  80.9061595,    0.000000,   16.341328,  21.8463073,   1.207761,    0.000000,16,29455974,29482335, 26362,-,lingo4b,ENSDARG00000078527, 1, 23.9411765,0.437500000,0.706666667,0.466666667,0.960000000,0.794871795,0.791666667
 552,ENSDARG00000063180,dock3,protein_coding,  102.96116,-3.516872,0.6874196,-5.116048,3.120041e-07,1.225294e-05,5.303622e+01, 271.102512, 236.110044, 153.1276715, 192.3245921, 172.7826456,    4.888070,    7.149331,   0.0000000,  26.570746,   15.480891,22,31819815,32220392,400578,+,dock3,ENSDARG00000063180, 1,-21.8254320,0.561643836,0.841269841,0.680851064,0.649122807,0.394366197,0.385964912
 576,ENSDARG00000017398,slc44a5a,protein_coding,   14.51297,-5.383376,1.0633025,-5.062883,4.129628e-07,1.554203e-05,0.000000e+00,  17.704654,  70.387523,  19.3343020,  31.8017042,  15.7698446,    0.000000,    1.021333,   0.0000000,   3.623284,    0.000000,2,11216814,11470654,253841,-,slc44a5a,ENSDARG00000017398, 2,-14.2491573,0.893966645,0.688811189,0.745029240,0.739795001,0.559913849,0.783113392
 606,ENSDARG00000115013,LO017845.1,protein_coding,   42.75471,-2.815828,0.5651865,-4.982122,6.289076e-07,2.249746e-05,1.325906e+01,  66.392452,  86.425186,  79.6573241,  93.1335623,  74.7353507,   27.699062,   16.341328,   3.0132838,   8.454328,    1.190838,23,40906583,40938467, 31885,+,LO017845.1,ENSDARG00000115013, 3, -5.4078504,0.460577536,0.602513588,0.614302562,0.484055387,0.502188240,0.492391512
 609,ENSDARG00000077920,CSMD3,protein_coding,   24.33467,-5.324531,1.0698822,-4.976744,6.466259e-07,2.301734e-05,0.000000e+00, 152.702640,  31.184345,  38.6686039,  16.6580355,  20.5693626,    0.000000,    0.000000,   0.7533209,   0.000000,    7.145026,19,44123618,44957710,834093,-,csmd3a,ENSDARG00000077920,22, -2.3662818,0.607105442,0.639043144,0.669683015,0.631301857,0.606595557,0.596903834
 621,ENSDARG00000101307,pcdh1gb2,protein_coding,  425.51794,-2.240776,0.4529553,-4.947014,7.536041e-07,2.634248e-05,3.362118e+02, 709.292696, 598.739432, 807.4004498,1057.0280733, 560.1723074,  252.550273,  110.303964, 131.0778437,  86.958806,   30.961781,10,21675058,21818583,143526,+,pcdh1gb2,ENSDARG00000101307, 5, 18.7413040,0.053475936,0.082202940,0.146784600,0.234782609,0.266666667,0.321166627
 632,ENSDARG00000062721,dennd4a,protein_coding,   99.75254,-2.227269,0.4522054,-4.925347,8.421080e-07,2.883921e-05,8.239556e+01, 231.267041, 153.248783, 159.3146481, 218.8260123, 111.7602033,   17.922923,   50.045317,  15.0664188,  19.324179,   38.106808,18,19044839,19105929, 61091,-,dennd4a,ENSDARG00000062721, 7, 24.8681987,0.593956044,0.559301982,0.525336568,0.772650286,0.832574637,0.810867894
 639,ENSDARG00000061904,fhod3b,protein_coding,  140.10318,-2.262162,0.4600068,-4.917671,8.758013e-07,2.974076e-05,1.193315e+02, 261.143645, 306.497567, 247.4790651, 223.3691129, 196.0945899,    6.517426,   53.109316,  43.6926146,  38.648358,   45.251834,16,18608978,18962613,353636,-,fhod3b,ENSDARG00000061904, 4, 10.3342224,0.815391788,0.874824152,0.584457636,0.852291380,0.885364495,0.916642675
 664,ENSDARG00000011845,chn2,protein_coding,   10.49960,-5.869506,1.2036164,-4.876558,1.079529e-06,3.524402e-05,0.000000e+00,  18.811195,  46.331028,  30.1615111,   9.0862012,   9.5990359,    0.000000,    0.000000,   1.5066419,   0.000000,    0.000000,16,20318400,20494799,176400,-,chn2,ENSDARG00000011845, 1, 35.4927809,0.505747126,0.888888889,0.818181818,0.932432432,0.960000000,0.943661972
 665,ENSDARG00000060893,col8a2,protein_coding,   11.43177,-6.468522,1.3270669,-4.874300,1.091951e-06,3.559597e-05,0.000000e+00,  50.900880,  25.838458,   0.7733721,  33.3160711,  13.7129084,    0.000000,    0.000000,   0.0000000,   1.207761,    0.000000,19,35496282,35598207,101926,-,col8a2,ENSDARG00000060893, 1, 58.2574257,0.043478261,1.000000000,0.307692308,0.728813559,0.947368421,0.928571429
 682,ENSDARG00000053517,EML5,protein_coding,  105.85742,-2.671967,0.5510508,-4.848858,1.241741e-06,3.946990e-05,3.504179e+01, 288.807166, 190.669998,  98.9916260, 213.5257283, 185.8099086,   86.355900,   31.661323,   6.0265675,  10.869851,   16.671728,17,43039463,43289290,249828,-,EML5,ENSDARG00000053517, 4, -9.0868163,0.781974676,0.788490610,0.780458567,0.649110188,0.704208306,0.723501229
 707,ENSDARG00000059972,raly,protein_coding,   33.83835,-4.072464,0.8452452,-4.818086,1.449421e-06,4.444207e-05,0.000000e+00, 116.186791,  91.771074,  50.2691851,  56.7887575,  30.8540439,   14.664209,    2.042666,   0.0000000,   8.454328,    1.190838,6,50021410,50206262,184853,-,raly,ENSDARG00000059972, 2,-23.0094939,0.746296296,0.771855011,0.848214286,0.530175211,0.670698925,0.516414141
 709,ENSDARG00000102773,cacna1da,protein_coding,   16.01923,-4.514979,0.9372325,-4.817352,1.454758e-06,4.452378e-05,2.841226e+00,  77.457861,  33.857289,  21.6544182,  31.0445208,   4.1138725,    0.000000,    1.021333,   3.0132838,   1.207761,    0.000000,11,36793473,36965988,172516,-,cacna1da,ENSDARG00000102773, 7, 15.8927719,0.566471461,0.591148418,0.607697566,0.741899806,0.813173707,0.618242263
 712,ENSDARG00000098652,pcdh11,protein_coding,  154.99091,-2.671782,0.5552346,-4.811988,1.494363e-06,4.549831e-05,1.003900e+02, 303.192198, 350.155650, 266.0399950, 307.4164740, 207.7505620,   60.286194,   72.514643,   8.2865304,  20.531940,    8.335864,14,27120406,27299123,178718,-,pcdh11,ENSDARG00000098652, 1, 40.4017228,0.037500000,0.000000000,0.000000000,0.553846154,0.333333333,0.250000000
 721,ENSDARG00000090481,trarg1a,protein_coding,   28.40947,-4.305058,0.8959545,-4.804996,1.547546e-06,4.652942e-05,0.000000e+00,  86.310188,  80.188317,  54.9094176,  25.7442367,  47.3095339,    0.000000,    2.042666,   1.5066419,  14.493134,    0.000000,15,24845145,24871826, 26682,-,trarg1a,ENSDARG00000090481,16,-29.3382551,0.600179414,0.097239718,0.250336015,0.004080613,0.047987892,0.034996130
 729,ENSDARG00000078440,ccdc88aa,protein_coding,  106.35793,-2.931801,0.6112311,-4.796550,1.614218e-06,4.800139e-05,4.735377e+01, 231.267041, 206.707661, 221.1844144, 235.4840478, 115.8740758,   47.251341,   40.853320,  12.0531351,   0.000000,   11.908377,6, 6301205, 6348557, 47353,-,ccdc88aa,ENSDARG00000078440, 1, 51.7795637,0.000000000,0.545454545,0.190476190,1.000000000,1.000000000,0.777777778
 733,ENSDARG00000075813,asphd1,protein_coding,   77.25132,-2.903911,0.6060595,-4.791462,1.655703e-06,4.896636e-05,1.041783e+01, 288.807166, 187.997054, 120.6460442, 105.2484973,  28.1114622,   42.363272,    9.191997,   6.7798885,  13.285373,   36.915970,3,15269943,15284693, 14751,+,asphd1,ENSDARG00000075813, 1, 15.9090909,0.840000000,0.000000000,0.948717949,0.895833333,0.937931034,0.880597015
 741,ENSDARG00000032623,rcan3,protein_coding,   74.46951,-3.142743,0.6575577,-4.779419,1.758028e-06,5.143122e-05,7.576603e+00, 147.169935, 121.173457, 172.4619735, 208.2254442,  70.6214782,   43.992628,   31.661323,   3.0132838,  12.077612,    1.190838,17,26879725,26928577, 48853,-,rcan3,ENSDARG00000032623, 1, 18.0180180,0.000000000,0.000000000,0.000000000,0.307692308,0.619047619,0.038961039
 750,ENSDARG00000011171,si:ch211-12m10.1,protein_coding,   68.67439,-3.950774,0.8293438,-4.763734,1.900428e-06,5.492996e-05,2.272981e+01, 327.536097, 146.120933,  67.2833708,  99.1910298,  60.3367969,   22.810992,    7.149331,   2.2599628,   0.000000,    0.000000,21,31432251,32008843,576593,+,si:ch211-12m10.1,ENSDARG00000011171, 3, 15.2925448,0.432364886,0.797931442,0.628964531,0.706718346,0.774044796,0.840740741
 755,ENSDARG00000059923,slc25a47a,protein_coding,   90.35247, 2.876565,0.6049034, 4.755412,1.980418e-06,5.690186e-05,3.883009e+01,  11.065409,  43.658084,  28.6147669,   9.0862012,   8.9133904,   79.838473,  274.738578,  48.2125402, 225.851344,  225.068334,20,53626534,53641863, 15330,+,slc25a47a,ENSDARG00000059923, 1, 22.9526038,0.757062147,0.297297297,0.000000000,0.858267717,0.828402367,0.863157895
 760,ENSDARG00000068050,agbl4,protein_coding,   21.19608,-3.158053,0.6659843,-4.741933,2.116882e-06,6.038126e-05,4.735377e+00,  90.736351,  31.184345,  30.1615111,  40.1307220,  13.7129084,    6.517426,    4.085332,   8.2865304,   2.415522,    1.190838,8,15633157,15993801,360645,-,agbl4,ENSDARG00000068050, 1,-27.0296548,0.791666667,0.927536232,1.000000000,0.602941176,0.804878049,0.590163934
 793,ENSDARG00000069427,nkain2,protein_coding,   43.46221,-2.397426,0.5111596,-4.690171,2.729762e-06,7.462267e-05,1.894151e+01,  58.646666,  54.349859,  98.9916260,  72.6896096, 104.9037491,    3.258713,   10.213330,   8.2865304,  12.077612,   35.725132,20,39806370,40121872,315503,-,nkain2,ENSDARG00000069427, 4, 21.8616855,0.276675691,0.290718376,0.182775558,0.638712746,0.496043252,0.409405941
 832,ENSDARG00000008788,camk1gb,protein_coding,   19.83440,-5.465329,1.1785660,-4.637270,3.530411e-06,9.194312e-05,0.000000e+00,  52.007421,  45.440046,   3.0934883,  63.6034084,  47.9951793,    0.000000,    0.000000,   0.0000000,   6.038806,    0.000000,23,39556508,39597901, 41394,+,camk1gb,ENSDARG00000008788, 1, 49.6328029,0.000000000,0.153846154,0.146341463,0.722222222,0.777777778,0.437500000
 840,ENSDARG00000093413,edil3a,protein_coding,   17.91032,-4.489866,0.9698860,-4.629272,3.669544e-06,9.470044e-05,0.000000e+00,  87.416728,  34.748271,  27.0680227,  25.7442367,  13.0272630,    0.000000,    1.021333,   6.7798885,   1.207761,    0.000000,5,46658045,46982651,324607,-,edil3a,ENSDARG00000093413, 3, 16.0192499,0.454408213,0.354413702,0.346846847,0.333333333,0.613075196,0.543121693
 846,ENSDARG00000104549,arhgap44,protein_coding,   29.86299,-3.033201,0.6562468,-4.622043,3.799787e-06,9.736618e-05,1.041783e+01,  69.712075,  61.477710,  69.6034871,  53.0028404,  33.5966255,    0.000000,    7.149331,   9.0398513,  14.493134,    0.000000,12,48478632,48538302, 59671,+,arhgap44,ENSDARG00000104549, 3, 29.0772763,0.326340326,0.390132856,0.432844933,0.654945055,0.725028058,0.573554422
 856,ENSDARG00000029051,gbe1a,protein_coding,   21.98593,-4.364222,0.9472740,-4.607138,4.082487e-06,1.033880e-04,0.000000e+00, 116.186791,  28.511402,   4.6402325,  53.7600238,  25.3688805,    0.000000,    3.063999,   0.7533209,   2.415522,    7.145026,10,24046663,24298042,251380,+,gbe1a,ENSDARG00000029051, 5, 28.5454826,0.244028010,0.383775910,0.461070506,0.777296074,0.573670659,0.501988788
 867,ENSDARG00000032865,pacsin1a,protein_coding,   88.84803,-2.624506,0.5711856,-4.594840,4.330823e-06,1.082529e-04,4.924792e+01, 235.693205, 225.418268, 163.9548806, 133.2642843,  61.0224423,    3.258713,   59.237314,  15.0664188,  14.493134,   16.671728,23, 3653386, 3705569, 52184,-,pacsin1a,ENSDARG00000032865, 3,-21.9911195,0.658028455,0.995833333,0.916666667,0.445987654,0.826164875,0.717738258
 905,ENSDARG00000097160,si:ch211-121j5.4,protein_coding,   14.01849,-5.446461,1.2021548,-4.530582,5.882134e-06,1.408982e-04,3.788302e+00,  44.261635,  51.676915,  18.5609299,  31.8017042,   4.1138725,    0.000000,    0.000000,   0.0000000,   0.000000,    0.000000,9, 7240896, 7259877, 18982,-,si:ch211-121j5.4,ENSDARG00000097160, 1, 60.8695652,0.000000000,0.000000000,0.000000000,0.600000000,0.695652174,0.538461538
 912,ENSDARG00000019902,rcvrn2,protein_coding, 1014.43563,-3.198129,0.7080786,-4.516631,6.283131e-06,1.493484e-04,2.812814e+02,2161.074313,3005.279919,1468.6335768,1976.2487617,1256.7880532,  425.262073,  392.191874, 139.3643741,  19.324179,   33.343457,16,13911692,13923589, 11898,-,rcvrn2,ENSDARG00000019902, 2, 36.5669712,0.004484305,0.000000000,0.000000000,0.509217183,0.442336141,0.193277627
 930,ENSDARG00000006383,stxbp5l,protein_coding,   43.24015,-2.302013,0.5122387,-4.494024,6.988964e-06,1.627355e-04,1.894151e+01, 109.547546,  69.496541,  51.8159293,  77.2327102,  74.7353507,   26.069706,    7.149331,  28.6261958,   8.454328,    3.572513,9,27415754,27651406,235653,-,stxbp5l,ENSDARG00000006383, 2, -0.9623373,0.521153846,0.782520325,0.776041667,0.504761905,0.634868421,0.742481203
 946,ENSDARG00000078755,plppr4b,protein_coding,   30.49693,-4.219885,0.9440763,-4.469856,7.827241e-06,1.793646e-04,9.470754e-01, 100.695219,  63.259672,  59.5496500,  53.0028404,  37.0248526,   17.922923,    3.063999,   0.0000000,   0.000000,    0.000000,24,30053651,30098666, 45016,-,plppr4b,ENSDARG00000078755, 2, -9.3622620,0.515429525,0.592105263,0.423076923,0.472222222,0.434782609,0.471428571
 979,ENSDARG00000013335,anxa6,protein_coding,   20.45502,-4.007957,0.9062028,-4.422803,9.742835e-06,2.157356e-04,3.788302e+00,  65.285911,  15.146682,  23.9745344,  43.1594557,  61.7080877,    0.000000,    0.000000,   0.0000000,   2.415522,    9.526702,14,49249331,49360686,111356,+,anxa6,ENSDARG00000013335, 6, 13.3351501,0.748122393,0.721148389,0.691732640,0.964648404,0.789642740,0.877089666
 980,ENSDARG00000040048,GALNTL6,protein_coding,   18.85261,-4.695917,1.0620104,-4.421724,9.791663e-06,2.165956e-04,9.470754e-01,  96.269055,  29.402383,  30.9348831,  24.2298699,  17.1411355,    0.000000,    0.000000,   0.0000000,   8.454328,    0.000000,1,37750171,38132612,382442,+,GALNTL6,ENSDARG00000040048, 3,  4.4033952,0.848484848,0.717575758,0.717691665,0.743051002,0.719373219,0.844444444
 985,ENSDARG00000034493,grin2aa,protein_coding,   25.92972,-4.099599,0.9284339,-4.415607,1.007270e-05,2.212321e-04,1.894151e+00, 120.612955,  50.785934,  51.8159293,  20.4439527,  23.9975897,    0.000000,    0.000000,  12.0531351,   3.623284,    0.000000,3,27069749,27277695,207947,+,grin2aa,ENSDARG00000034493, 2,  4.4478483,0.635566810,0.762820513,0.800000000,0.629763498,0.927577741,0.787076271
 988,ENSDARG00000063264,pcdh9,protein_coding,   40.81652,-4.260403,0.9652368,-4.413842,1.015520e-05,2.223681e-04,0.000000e+00, 132.784904, 144.338970,  75.7904637,  35.5876214,  34.2822710,    0.000000,   19.405327,   0.7533209,   6.038806,    0.000000,6, 4870883, 4984243,113361,+,pcdh9,ENSDARG00000063264, 1,-61.1580914,0.652173913,0.847222222,0.803571429,0.159090909,0.326923077,0.131313131
 993,ENSDARG00000090228,gsta.1,protein_coding,  434.96770, 2.110091,0.4783290, 4.411380,1.027138e-05,2.242326e-04,7.292480e+01, 140.530690, 216.508455, 153.1276715,  71.1752428, 192.6663628,  905.922270,  546.413157, 893.4386359, 579.725374, 1012.212086,13,  842143,  852506, 10364,+,gsta.1,ENSDARG00000090228, 2,-22.5923358,0.395833333,0.431118619,0.468027211,0.217391304,0.273750000,0.163043478
 995,ENSDARG00000079396,lrfn5b,protein_coding,   39.59109,-2.642482,0.5993280,-4.409074,1.038135e-05,2.261778e-04,1.041783e+01,  88.523269,  43.658084,  88.1644169,  66.6321422,  76.7922869,   30.957775,    1.021333,   9.0398513,   3.623284,   16.671728,20,54381838,54407669, 25832,+,lrfn5b,ENSDARG00000079396, 2, 17.5052318,0.441295547,0.392676768,0.724154135,0.687552707,0.620857950,0.641098485
 996,ENSDARG00000098944,nme8,protein_coding,   18.84512, 2.669445,0.6056514, 4.407560,1.045418e-05,2.275359e-04,1.704736e+01,  12.171950,   4.454906,   3.8668604,   1.5143669,   2.7425817,   45.621985,   36.767988,  27.8728748,  32.609552,   22.625917,9,52409530,52446996, 37467,+,nme8,ENSDARG00000098944, 8, 29.6980435,0.728937839,0.674032329,0.348805147,0.896185795,0.913759429,0.908361806
1010,ENSDARG00000036446,PRKAR2B,protein_coding,   26.82170,-3.426434,0.7812129,-4.386044,1.154306e-05,2.477529e-04,1.136490e+01,  52.007421,  51.676915,  44.0822085,  70.4180593,  46.6238885,    9.776140,    0.000000,   0.7533209,   0.000000,    8.335864,25, 3475384, 3505458, 30075,-,PRKAR2B,ENSDARG00000036446, 2, -4.5740326,0.762840928,0.657446809,0.765791119,0.665376677,0.786363636,0.640243902
1023,ENSDARG00000092358,BX469930.1,lincRNA,  136.59303,-4.747080,1.0864933,-4.369176,1.247164e-05,2.642818e-04,9.470754e-01, 481.345277, 560.427237, 191.7962754,   0.7571834, 203.6366895,   16.293566,    5.106665,  12.0531351,  27.778508,    2.381675,1,57925489,57931592,  6104,+,BX469930.1,ENSDARG00000092358, 6, 18.7476722,0.595482295,0.111174876,0.085253456,0.528719346,0.337307896,0.401322266
1045,ENSDARG00000097653,si:dkey-23k10.3,protein_coding,   46.72822, 7.151669,1.6468620, 4.342604,1.408041e-05,2.920909e-04,4.261839e+01,   3.319623,   0.000000,   0.0000000,   0.0000000,   0.0000000,   89.614613,   59.237314, 241.8160220,   0.000000,   77.404454,15,36358144,36371743, 13600,-,si:dkey-23k10.3,ENSDARG00000097653, 1, 62.8865979,0.000000000,0.000000000,0.000000000,0.804878049,0.655172414,0.333333333
1046,ENSDARG00000088475,pcdh1gb9,protein_coding,  462.80324,-2.010556,0.4631534,-4.341015,1.418261e-05,2.939299e-04,3.693594e+02, 717.038482, 632.596722, 856.1228908,1104.7306296, 610.9100684,  404.080437,  133.794624, 128.8178809,  85.751045,   47.633510,10,21716468,21818583,102116,+,pcdh1gb9,ENSDARG00000088475, 5, 18.7413040,0.053475936,0.082202940,0.146784600,0.234782609,0.266666667,0.321166627
1051,ENSDARG00000110160,SBSPON,protein_coding,   71.16702,-3.041096,0.7012976,-4.336384,1.448461e-05,2.990183e-04,3.693594e+01, 161.554967, 253.038689,  53.3626734,  36.3448048, 179.6390998,    6.517426,    0.000000,  21.8463073,  18.116418,   15.480891,24,13314737,13337149, 22413,+,SBSPON,ENSDARG00000110160, 2, 29.8737458,0.512566138,0.397515528,0.404977376,0.803035605,0.743109508,0.688415948
1060,ENSDARG00000104756,CDHR1 (1 of many),protein_coding,   14.98047,-4.974342,1.1494681,-4.327517,1.507998e-05,3.086865e-04,5.682452e+00,  46.474716,  26.729439,  50.2691851,  28.7729705,   6.8564542,    0.000000,    0.000000,   0.0000000,   0.000000,    0.000000,12,48979060,48994527, 15468,-,CDHR1 (1 of many),ENSDARG00000104756, 1, 17.7326999,0.000000000,0.193181818,0.333333333,0.495867769,0.331730769,0.066666667
1070,ENSDARG00000097875,CR786577.1,lincRNA,   10.79496,-5.054507,1.1702378,-4.319214,1.565861e-05,3.172406e-04,3.788302e+00,  47.581257,  17.819626,  22.4277903,  11.3577515,  15.7698446,    0.000000,    0.000000,   0.0000000,   0.000000,    0.000000,14,44011419,44208429,197011,+,CR786577.1,ENSDARG00000097875, 5,-24.2266257,0.552285714,0.522048712,0.579194139,0.237928205,0.397443860,0.301023760
1104,ENSDARG00000101713,scn2b,protein_coding,   26.19081,-4.219864,0.9821985,-4.296346,1.736367e-05,3.409507e-04,0.000000e+00,  68.605534,  83.752242,  47.1756968,  46.9453729,  23.3119442,   13.034853,    0.000000,   5.2732466,   0.000000,    0.000000,15,12521379,12547683, 26305,-,scn2b,ENSDARG00000101713, 1,-53.0708151,0.700000000,0.843750000,0.800000000,0.093220339,0.354430380,0.444444444
1106,ENSDARG00000078366,robo2,protein_coding,   62.44762,-2.586770,0.6024423,-4.293804,1.756372e-05,3.442552e-04,4.167132e+01, 148.276476, 104.244812, 114.4590676, 134.7786512,  71.9927690,    6.517426,   18.383994,  24.8595911,  21.739702,    0.000000,15,38857648,38892216, 34569,+,robo2,ENSDARG00000078366, 1,-18.7556195,0.909090909,0.857142857,1.000000000,0.620689655,0.714285714,0.818181818
1111,ENSDARG00000074781,ptprt,protein_coding,  174.00009,-2.117673,0.4938504,-4.288085,1.802200e-05,3.516481e-04,2.935934e+01, 361.838864, 424.107098, 247.4790651, 278.6435036, 187.8668448,   53.768768,  160.349282,  69.3055266,  89.374329,   11.908377,6,51020918,51388696,367779,-,ptprt,ENSDARG00000074781, 3,  9.7871729,0.500000000,0.493930094,0.536111111,0.623188406,0.418253968,0.666028097
1112,ENSDARG00000103535,FO818719.1,protein_coding,   16.08656,-5.180580,1.2089694,-4.285121,1.826399e-05,3.560494e-04,2.841226e+00, 117.293332,  21.383551,  18.5609299,   2.2715503,  12.3416175,    0.000000,    0.000000,   2.2599628,   0.000000,    0.000000,1,48254950,48490034,235085,+,SORCS3,ENSDARG00000103535, 4, -1.0497571,0.663443996,0.575163399,0.548677885,0.601785714,0.536148982,0.563948966
1127,ENSDARG00000060597,zgc:158659,protein_coding,  110.36005,-2.267827,0.5314898,-4.266925,1.981854e-05,3.812123e-04,7.103065e+01, 181.472702, 144.338970, 237.4252281, 290.0012551, 117.2453667,   92.873326,   37.789321,  16.5730607,  14.493134,   10.717540,23,44190852,44235410, 44559,-,zgc:158659,ENSDARG00000060597, 2, 23.7607793,0.547826087,0.243055556,0.269349845,0.591397849,0.513547918,0.549053030
1166,ENSDARG00000063299,pcloa,protein_coding,  100.98205,-2.801283,0.6626571,-4.227350,2.364601e-05,4.396211e-04,6.818943e+01, 356.306159, 209.380605, 136.1134858, 132.5071009, 113.8171396,   27.699062,   40.853320,  15.0664188,  10.869851,    0.000000,4,11373894,11450040, 76147,+,pcloa,ENSDARG00000063299, 1, 19.7222222,0.933333333,0.545454545,0.625000000,0.875000000,0.944444444,0.804347826
1176,ENSDARG00000055843,cdh10a,protein_coding,   13.50706,-5.015365,1.1882852,-4.220675,2.435723e-05,4.489932e-04,0.000000e+00,  67.498993,  18.710607,  13.1473253,  41.6450888,   2.0569363,    3.258713,    0.000000,   2.2599628,   0.000000,    0.000000,2,28887936,28934284, 46349,+,cdh10a,ENSDARG00000055843, 4, 15.5216595,0.655217583,0.687004881,0.744455316,0.827394924,0.826693904,0.842599068
1182,ENSDARG00000017446,camk1db,protein_coding,   26.42374,-4.854998,1.1518717,-4.214878,2.499137e-05,4.583442e-04,0.000000e+00,  94.055974,  89.989111,  32.4816273,  37.1019882,  23.9975897,   13.034853,    0.000000,   0.0000000,   0.000000,    0.000000,25, 7987920, 8032425, 44506,-,camk1db,ENSDARG00000017446, 1, 45.1482800,0.400000000,0.370370370,0.607142857,0.902439024,0.960784314,0.915887850
1188,ENSDARG00000055740,march9,protein_coding,   30.94464,-3.742069,0.8894017,-4.207401,2.583248e-05,4.713776e-04,8.523678e+00,  92.949433,  54.349859,  51.0425572,  68.9036925,  45.2525977,    0.000000,    0.000000,   1.5066419,   0.000000,   17.862566,23,36769593,36798620, 29028,+,march9,ENSDARG00000055740, 1, 15.3093041,0.320000000,0.904761905,0.933333333,0.902777778,0.858823529,0.870370370
1210,ENSDARG00000078536,si:ch211-158d24.2,protein_coding,  175.97378,-2.233379,0.5344395,-4.178917,2.929004e-05,5.247517e-04,1.827855e+02, 231.267041, 178.196260, 487.2244094, 499.7410662, 146.0424743,   65.174264,   60.258647,  26.3662329,  21.739702,   36.915970,8,41531268,41610205, 78938,+,si:ch211-158d24.2,ENSDARG00000078536, 1, 44.7207535,0.217391304,0.709090909,0.555555556,0.942028986,0.851851852,0.925000000
1248,ENSDARG00000099096,gabrb4,protein_coding,   37.54032,-3.452397,0.8348479,-4.135361,3.543978e-05,6.155959e-04,3.788302e+00, 196.964274,  37.421215,  67.2833708,  45.4310060,  24.6832351,   16.293566,   14.298662,   6.7798885,   0.000000,    0.000000,21,37787805,37891727,103923,-,gabrb4,ENSDARG00000099096, 4, 15.2743128,0.387860557,0.540499460,0.530735253,0.661410796,0.585132595,0.550717751
1251,ENSDARG00000054048,plin1,protein_coding,   56.18319,-3.528048,0.8536464,-4.132915,3.581920e-05,6.206943e-04,7.576603e+00, 117.293332,  57.913784, 119.0993001, 135.5358346, 128.2156934,   43.992628,    6.127998,   2.2599628,   0.000000,    0.000000,18,25229634,25281323, 51690,-,plin1,ENSDARG00000054048, 2, 30.6600688,0.251161616,0.961538462,0.948275862,0.915094340,0.893530620,0.923076923
1278,ENSDARG00000004291,hecw1b,protein_coding,   58.29114,-2.582207,0.6283243,-4.109673,3.962201e-05,6.719554e-04,1.799443e+01, 120.612955,  89.098130,  83.5241845, 131.7499174, 110.3889125,    1.629357,   45.959985,  23.3529492,  15.700896,    1.190838,2,49884696,49980227, 95532,-,hecw1b,ENSDARG00000004291, 1,-24.4495413,0.825000000,0.897435897,0.809523810,0.783783784,0.272727273,0.620000000
1280,ENSDARG00000079248,mn1b,protein_coding,   10.42972,-3.846864,0.9362646,-4.108736,3.978312e-05,6.737644e-04,4.735377e+00,  30.983144,  10.691776,  13.9206974,  31.0445208,  19.8837172,    0.000000,    0.000000,   2.2599628,   1.207761,    0.000000,5,66676356,66704479, 28124,-,mn1b,ENSDARG00000079248, 1, 47.4257590,0.160000000,0.000000000,0.464285714,0.682926829,0.371428571,0.730769231
